"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"169";"E007210 ";"E007022 ";"2023JJ00";"306157";"17.15"
"170";"E007210 ";"E006607 ";"1990JJ00";;
"171";"E007210 ";"E006607 ";"1991JJ00";;
"172";"E007210 ";"E006607 ";"1992JJ00";;
"173";"E007210 ";"E006607 ";"1993JJ00";;
"174";"E007210 ";"E006607 ";"1994JJ00";;
"175";"E007210 ";"E006607 ";"1995JJ00";;
"176";"E007210 ";"E006607 ";"1996JJ00";;
"177";"E007210 ";"E006607 ";"1997JJ00";;
"178";"E007210 ";"E006607 ";"1998JJ00";;
"179";"E007210 ";"E006607 ";"1999JJ00";;
"180";"E007210 ";"E006607 ";"2000JJ00";;
"181";"E007210 ";"E006607 ";"2001JJ00";;
"182";"E007210 ";"E006607 ";"2002JJ00";;
"183";"E007210 ";"E006607 ";"2003JJ00";;
"184";"E007210 ";"E006607 ";"2004JJ00";;
"185";"E007210 ";"E006607 ";"2005JJ00";;
"186";"E007210 ";"E006607 ";"2006JJ00";;
"187";"E007210 ";"E006607 ";"2007JJ00";;
"188";"E007210 ";"E006607 ";"2008JJ00";;
"189";"E007210 ";"E006607 ";"2009JJ00";;
"190";"E007210 ";"E006607 ";"2010JJ00";;
"191";"E007210 ";"E006607 ";"2011JJ00";;
"192";"E007210 ";"E006607 ";"2012JJ00";;
"193";"E007210 ";"E006607 ";"2013JJ00";;
"194";"E007210 ";"E006607 ";"2014JJ00";;
"195";"E007210 ";"E006607 ";"2015JJ00";;
"196";"E007210 ";"E006607 ";"2016JJ00";;
"197";"E007210 ";"E006607 ";"2017JJ00";;
"198";"E007210 ";"E006607 ";"2018JJ00";;
"199";"E007210 ";"E006607 ";"2019JJ00";;
"200";"E007210 ";"E006607 ";"2020JJ00";;
"201";"E007210 ";"E006607 ";"2021JJ00";;
"202";"E007210 ";"E006607 ";"2022JJ00";;
"203";"E007210 ";"E006607 ";"2023JJ00";;
"204";"E007210 ";"E006608 ";"1990JJ00";;
"205";"E007210 ";"E006608 ";"1991JJ00";;
"206";"E007210 ";"E006608 ";"1992JJ00";;
"207";"E007210 ";"E006608 ";"1993JJ00";;
"208";"E007210 ";"E006608 ";"1994JJ00";;
"209";"E007210 ";"E006608 ";"1995JJ00";;
"210";"E007210 ";"E006608 ";"1996JJ00";;
"211";"E007210 ";"E006608 ";"1997JJ00";;
"212";"E007210 ";"E006608 ";"1998JJ00";;
"213";"E007210 ";"E006608 ";"1999JJ00";;
"214";"E007210 ";"E006608 ";"2000JJ00";;
"215";"E007210 ";"E006608 ";"2001JJ00";;
"216";"E007210 ";"E006608 ";"2002JJ00";;
"217";"E007210 ";"E006608 ";"2003JJ00";;
"218";"E007210 ";"E006608 ";"2004JJ00";;
"219";"E007210 ";"E006608 ";"2005JJ00";;
"220";"E007210 ";"E006608 ";"2006JJ00";;
"221";"E007210 ";"E006608 ";"2007JJ00";;
"222";"E007210 ";"E006608 ";"2008JJ00";;
"223";"E007210 ";"E006608 ";"2009JJ00";;
"224";"E007210 ";"E006608 ";"2010JJ00";;
"225";"E007210 ";"E006608 ";"2011JJ00";;
"226";"E007210 ";"E006608 ";"2012JJ00";;
"227";"E007210 ";"E006608 ";"2013JJ00";;
"228";"E007210 ";"E006608 ";"2014JJ00";;
"229";"E007210 ";"E006608 ";"2015JJ00";;
"230";"E007210 ";"E006608 ";"2016JJ00";;
"231";"E007210 ";"E006608 ";"2017JJ00";;
"232";"E007210 ";"E006608 ";"2018JJ00";;
"233";"E007210 ";"E006608 ";"2019JJ00";;
"234";"E007210 ";"E006608 ";"2020JJ00";;
"235";"E007210 ";"E006608 ";"2021JJ00";;
"236";"E007210 ";"E006608 ";"2022JJ00";;
"237";"E007210 ";"E006608 ";"2023JJ00";;
"238";"E007210 ";"E007028 ";"1990JJ00";;
"239";"E007210 ";"E007028 ";"1991JJ00";;
"240";"E007210 ";"E007028 ";"1992JJ00";;
"241";"E007210 ";"E007028 ";"1993JJ00";;
"242";"E007210 ";"E007028 ";"1994JJ00";;
"243";"E007210 ";"E007028 ";"1995JJ00";;
"244";"E007210 ";"E007028 ";"1996JJ00";;
"245";"E007210 ";"E007028 ";"1997JJ00";;
"246";"E007210 ";"E007028 ";"1998JJ00";;
"247";"E007210 ";"E007028 ";"1999JJ00";;
"248";"E007210 ";"E007028 ";"2000JJ00";;
"249";"E007210 ";"E007028 ";"2001JJ00";;
"250";"E007210 ";"E007028 ";"2002JJ00";;
"251";"E007210 ";"E007028 ";"2003JJ00";;
"252";"E007210 ";"E007028 ";"2004JJ00";;
"253";"E007210 ";"E007028 ";"2005JJ00";;
"254";"E007210 ";"E007028 ";"2006JJ00";;
"255";"E007210 ";"E007028 ";"2007JJ00";;
"256";"E007210 ";"E007028 ";"2008JJ00";;
"257";"E007210 ";"E007028 ";"2009JJ00";;
"258";"E007210 ";"E007028 ";"2010JJ00";;
"259";"E007210 ";"E007028 ";"2011JJ00";;
"260";"E007210 ";"E007028 ";"2012JJ00";;
"261";"E007210 ";"E007028 ";"2013JJ00";;
"262";"E007210 ";"E007028 ";"2014JJ00";;
"263";"E007210 ";"E007028 ";"2015JJ00";;
"264";"E007210 ";"E007028 ";"2016JJ00";;
"265";"E007210 ";"E007028 ";"2017JJ00";;
"266";"E007210 ";"E007028 ";"2018JJ00";;
"267";"E007210 ";"E007028 ";"2019JJ00";;
"268";"E007210 ";"E007028 ";"2020JJ00";;
"269";"E007210 ";"E007028 ";"2021JJ00";;
"270";"E007210 ";"E007028 ";"2022JJ00";;
"271";"E007210 ";"E007028 ";"2023JJ00";;
"272";"E007209 ";"E007022 ";"1990JJ00";;
"273";"E007209 ";"E007022 ";"1991JJ00";;
"274";"E007209 ";"E007022 ";"1992JJ00";;
"275";"E007209 ";"E007022 ";"1993JJ00";;
"276";"E007209 ";"E007022 ";"1994JJ00";;
"277";"E007209 ";"E007022 ";"1995JJ00";;
"278";"E007209 ";"E007022 ";"1996JJ00";;
"279";"E007209 ";"E007022 ";"1997JJ00";;
"280";"E007209 ";"E007022 ";"1998JJ00";;
"281";"E007209 ";"E007022 ";"1999JJ00";;
"282";"E007209 ";"E007022 ";"2000JJ00";;
"283";"E007209 ";"E007022 ";"2001JJ00";;
"284";"E007209 ";"E007022 ";"2002JJ00";;
"285";"E007209 ";"E007022 ";"2003JJ00";;
"286";"E007209 ";"E007022 ";"2004JJ00";;
"287";"E007209 ";"E007022 ";"2005JJ00";;
"288";"E007209 ";"E007022 ";"2006JJ00";;
"289";"E007209 ";"E007022 ";"2007JJ00";;
